Population_Growth_Rate_(percentage),Real_GDP_per_Capita_USD,Median_Age,Total_Fertility_Rate,Expected_Years_of_Schooling_(years),Youth_Unemployment_Rate_percent,Country,Real_GDP_per_Capita_USD_original,Cluster
0.519,9.249657234353133,29.9,2.23,13.84869,18.1,Fiji,10400.0,0
0.388,10.811766273800105,42.8,1.74,19.49408913,18.1,Finland,49600.0,3
0.173,10.734242182303689,46.3,1.29,16.09511948,18.8,France,45900.0,3
1.687,9.53249633228804,31.85,1.955,13.33577728,16.5,French Guiana,13800.0,0
0.247,9.83097062169695,33.3,1.8,13.33577728,38.9,French Polynesia,18600.0,2
2.179,9.53249633228804,21.0,3.26,12.48275889,38.4,Gabon,13800.0,2
2.303,7.650168700845001,21.8,3.66,8.977899686,15.5,Gambia,2100.0,1
0.018,9.648659816955295,38.6,1.75,16.75470924,28.3,Georgia,15500.0,3
0.349,10.843514342086866,47.8,1.58,17.30921936,7.5,Germany,51200.0,3
1.897,8.594339400592892,21.4,3.61,11.41845989,9.6,Ghana,5400.0,1
2.332,11.03005541721757,35.5,1.9,13.33577728,16.5,Gibraltar,61700.0,0
-2.077,10.292179440058462,45.3,1.4,20.84550095,36.9,Greece,29500.0,3
-0.141,10.640675541671662,34.3,1.9,13.33577728,16.5,Greenland,41800.0,3
0.126,9.525224101853109,33.3,1.92,16.57728919,16.5,Grenada,13700.0,3
0.779,10.480129006333248,29.4,2.76,13.33577728,15.3,Guam,35600.0,0
1.549,9.093918908958932,23.2,2.57,10.67763042,7.2,Guatemala,8900.0,0
0.475,10.868587496017359,44.3,1.59,13.33577728,15.8,Guernsey,52500.0,3
2.445,9.53249633228804,19.1,4.82,10.39330626,8.2,Guinea,13800.0,1
2.234,8.160803920954665,18.0,4.65,10.63534621,5.0,Guinea-Bissau,3500.0,1
0.552,9.994287576862567,27.5,2.06,13.02205765,29.9,Guyana,21900.0,2
1.165,9.53249633228804,24.1,2.79,10.89635878,16.5,Haiti,13800.0,0
0.881,9.53249633228804,31.85,1.955,13.33577728,16.5,Heard Island and McDonald Islands,13800.0,0
-1.816,9.53249633228804,31.85,1.955,13.33577728,16.5,Holy See (Vatican City State),13800.0,0
1.701,8.630700432209832,24.4,1.98,10.16220647,15.5,Honduras,5600.0,0
-0.259,9.53249633228804,45.6,1.23,16.89586067,15.0,Hong Kong,13800.0,3
0.067,10.422311107413181,43.6,1.49,15.46940041,13.5,Hungary,33600.0,3
1.642,10.889323003601277,37.1,1.95,18.85058975,13.4,Iceland,53600.0,3
0.885,8.79497643168877,28.7,2.07,12.95454025,28.3,India,6600.0,2
0.828,9.38437770918244,31.1,1.99,13.33577728,16.1,Indonesia,11900.0,0
1.117,9.61587214452889,31.7,1.92,13.96833061,27.2,"Iran, Islamic Republic of",15000.0,0
2.147,9.105090961257085,21.2,3.17,12.35940135,27.2,Iraq,9000.0,2
1.185,11.537627833610571,37.8,1.91,19.1848793,17.4,Ireland,102500.0,3
0.018,11.345701365855424,44.6,1.88,13.33577728,10.1,Isle of Man,84600.0,3
1.415,10.647826772357497,30.4,2.54,14.93416023,8.8,Israel,42100.0,0
-0.216,10.643064971973882,46.5,1.24,16.71419907,30.9,Italy,41900.0,3
0.003,9.169622538697624,29.4,2.05,12.3833955,26.1,Jamaica,9600.0,0
-0.482,10.579005242826247,48.6,1.39,15.51198006,4.1,Japan,39300.0,3
0.177,10.943781931879723,37.5,1.66,13.33577728,15.8,Jersey,56600.0,3
1.604,9.127067452782361,23.5,2.91,13.1090498,40.5,Jordan,9200.0,2
1.319,10.169728906753061,31.6,2.08,14.0086174,3.7,Kazakhstan,26100.0,0
1.972,8.45553053102413,20.0,3.23,11.47407573,13.8,Kenya,4700.0,1
1.504,7.550135342488429,25.7,2.18,11.87390648,22.5,Kiribati,1900.0,0
0.319,7.438971592395862,34.6,1.89,12.20215329,6.1,"Korea, Democratic People's Republic of",1700.0,0
-0.041,10.69650269224425,43.2,1.11,16.6186409,7.8,"Korea, Republic of",44200.0,3
1.875,10.689692377847104,29.7,2.22,15.90424029,25.5,Kuwait,43900.0,0
1.614,8.476579508530941,27.3,2.47,12.71388245,19.3,Kyrgyzstan,4800.0,0
1.375,8.962007209588313,24.0,2.3,9.605483055,3.3,Lao People's Democratic Republic,7800.0,0
-0.287,10.376642461280849,44.4,1.55,16.48265076,15.5,Latvia,32100.0,3
0.426,9.472781556562168,33.7,1.71,11.68299961,29.6,Lebanon,13000.0,2
1.123,7.741099090035366,24.7,2.88,10.98659352,37.4,Lesotho,2300.0,2
2.198,7.244941546337007,18.0,4.73,10.46585369,3.2,Liberia,1400.0,1
1.01,9.99884318585288,25.8,3.04,12.92465677,50.5,Libya,22000.0,2
0.697,11.170449240431308,43.7,1.69,15.41257954,9.1,Liechtenstein,71000.0,3
0.891,10.579005242826247,44.5,1.61,16.45467949,19.0,Lithuania,39300.0,3
1.235,11.658764556186767,39.5,1.63,14.35795021,15.2,Luxembourg,115700.0,3
1.388,11.079076314320059,40.8,1.23,13.33577728,9.2,Macao,64800.0,3
2.452,7.313886831633462,20.3,3.55,9.062584503,4.8,Madagascar,1500.0,1
2.574,7.313886831633462,16.8,3.3,9.902591705,9.9,Malawi,1500.0,1
