ISO3,"Natural_Change,_Births_minus_Deaths_(thousands)","Rate_of_Natural_Change_(per_1,000_population)",Population_Growth_Rate_(percentage),Net_Number_of_Migrants_(thousands),"Net_Migration_Rate_(per_1,000_population)"
LCA,0.475,2.648,0.266,0.0,0.0
LIE,0.071,1.787,0.697,0.214,5.404
LKA,161.649,7.037,0.582,-28.011,-1.219
LSO,31.116,13.461,1.123,-5.168,-2.236
LTU,-19.506,-6.834,0.891,44.935,15.744
LUX,2.304,3.464,1.235,5.905,8.878
LVA,-13.364,-7.1,-0.287,7.966,4.232
MAC,1.092,1.53,1.388,8.807,12.336
MAF,0.215,7.787,-5.398,-1.697,-61.677
MAR,417.208,11.063,1.001,-39.65,-1.051
MCO,-0.449,-11.53,-0.922,0.088,2.259
MDA,-8.744,-2.851,-0.89,-18.57,-6.055
MDG,766.403,24.567,2.452,-1.487,-0.048
MDV,4.565,8.68,0.323,-2.877,-5.469
MEX,1238.323,9.545,0.877,-101.044,-0.779
MHL,0.55,14.169,-3.323,-1.832,-47.184
MKD,-2.985,-1.63,-0.468,-5.597,-3.055
MLI,746.398,31.402,2.972,-39.953,-1.681
MLT,0.285,0.533,1.29,6.591,12.368
MMR,408.352,7.543,0.69,-34.989,-0.646
MNE,-0.228,-0.359,1.857,12.0,18.941
MNG,44.679,13.018,1.302,0.0,0.0
MNP,0.371,8.214,-2.105,-1.321,-29.263
MOZ,1025.335,30.484,2.941,-36.276,-1.079
MRT,145.16,28.903,2.95,2.999,0.597
MSR,-0.021,-4.752,-0.701,-0.012,-2.715
MTQ,0.226,0.651,-0.824,-3.078,-8.896
MUS,0.68,0.534,-0.168,-2.824,-2.217
MWI,549.108,26.018,2.574,-5.811,-0.275
MYS,254.823,7.254,1.241,181.071,5.155
MYT,10.332,32.693,3.314,0.137,0.434
NAM,58.436,19.721,2.366,11.675,3.94
NCL,2.316,7.991,0.966,0.485,1.673
NER,864.146,33.033,3.307,0.995,0.038
NGA,4834.316,21.214,2.096,-57.936,-0.254
NIC,100.92,14.79,1.362,-7.996,-1.172
NIU,-0.002,-0.848,-0.275,0.0,0.0
NLD,1.504,0.083,0.807,144.558,7.99
NOR,7.402,1.341,1.109,53.806,9.749
NPL,368.456,12.408,-0.139,-409.782,-13.8
NRU,0.214,17.986,0.505,-0.148,-12.463
NZL,21.55,4.166,0.83,21.404,4.138
OMN,75.468,14.946,4.591,156.285,30.952
PAK,5281.745,21.34,1.48,-1619.557,-6.544
PAN,50.197,11.258,1.289,7.262,1.629
PER,353.762,10.453,1.118,24.783,0.732
PHL,1123.987,9.783,0.835,-164.284,-1.43
PLW,-0.011,-0.598,-0.231,-0.019,-1.072
PNG,187.631,18.06,1.798,-0.787,-0.076
POL,-94.394,-2.435,-0.264,-7.824,-0.202
PRI,-15.813,-4.877,0.124,19.833,6.117
PRK,86.212,3.263,0.319,-1.997,-0.076
PRT,-29.271,-2.806,-0.002,29.102,2.79
PRY,97.744,14.282,1.245,-12.5,-1.826
PSE,107.447,19.864,1.524,-24.996,-4.621
PYF,2.04,7.258,0.247,-1.348,-4.794
QAT,26.745,8.978,2.24,39.995,13.425
REU,7.206,8.237,0.41,-3.625,-4.143
ROU,-73.496,-3.845,-0.53,-27.78,-1.453
RUS,-497.65,-3.422,-0.323,27.807,0.191
RWA,312.752,22.413,2.177,-9.001,-0.645
SAU,468.201,14.075,2.387,325.691,9.791
SDN,1361.558,27.208,0.023,-1349.998,-26.977
SEN,431.008,23.842,2.329,-9.999,-0.553
SGP,19.744,3.41,0.807,26.996,4.663
SHN,-0.05,-9.495,-1.116,0.0,0.0
SLB,17.435,21.794,2.383,1.636,2.045
SLE,188.787,22.314,2.184,-4.0,-0.473
SLV,51.985,8.239,0.455,-23.253,-3.685
SMR,-0.07,-2.073,-0.744,-0.19,-5.633
SOM,608.209,33.129,3.565,46.217,2.517
SPM,-0.052,-9.16,-0.968,0.0,0.0
SRB,-34.088,-5.033,-0.439,4.348,0.642
SSD,217.969,18.981,5.862,455.0,39.622
STP,5.22,22.613,2.004,-0.592,-2.564
SUR,6.697,10.649,0.909,-0.988,-1.571
SVK,-1.896,-0.343,0.055,4.933,0.894
SVN,-3.679,-1.737,0.078,5.339,2.52
SWE,3.971,0.377,0.561,55.209,5.232
SWZ,20.147,16.373,0.943,-8.549,-6.948
SXM,0.043,1.0,1.436,0.567,13.263
SYC,0.693,5.412,1.964,1.809,14.138
SYR,402.701,17.068,4.917,757.309,32.097
TCA,0.154,3.337,0.745,0.193,4.178
TCD,605.931,31.364,5.71,496.83,25.717
TGO,218.098,23.44,2.323,-1.997,-0.215
THA,-46.106,-0.643,-0.037,19.648,0.274
TJK,223.825,21.543,1.962,-19.999,-1.925
TKL,0.033,13.869,4.631,0.073,30.448
TKM,117.525,15.959,1.8,15.005,2.037
TLS,20.496,14.806,1.075,-5.62,-4.06
TON,1.744,16.675,-0.418,-2.173,-20.775
TTO,3.517,2.34,0.376,2.126,1.415
TUN,93.658,7.677,0.653,-14.001,-1.148
TUR,520.416,5.963,0.232,-318.07,-3.645
TUV,0.136,13.937,-1.803,-0.323,-32.907
TWN,-72.935,-3.128,-0.453,-32.777,-1.406
TZA,1960.592,29.431,2.884,-39.388,-0.591
UGA,1477.167,30.359,2.777,-126.181,-2.593
UKR,-283.19,-7.505,-1.546,-299.961,-7.95
URY,0.298,0.088,-0.036,-1.501,-0.443
USA,681.818,1.985,0.584,1322.668,3.851
UZB,722.298,20.259,2.009,-6.004,-0.168
VAT,-0.011,-21.369,-1.816,0.0,0.0
VCT,0.067,0.659,-0.704,-0.784,-7.738
VEN,213.029,7.527,0.354,-112.899,-3.989
VGB,0.092,2.36,1.755,0.587,15.057
VIR,-0.362,-4.222,-0.929,-0.444,-5.181
VNM,727.981,7.254,0.644,-81.789,-0.815
VUT,7.359,22.967,2.295,0.0,0.0
WLF,0.01,0.8,-0.888,-0.107,-9.41
WSM,4.169,19.244,0.627,-2.81,-12.969
XKX,10.533,6.196,-1.072,-28.754,-16.914
YEM,1198.15,30.417,3.029,-5.233,-0.133
ZAF,602.778,9.536,1.315,228.222,3.61
ZMB,577.648,27.874,2.833,9.521,0.459
ZWE,372.505,22.796,1.684,-97.38,-5.959
