ISO3,"Adolescent_Birth_Rate_(births_per_1,000_women_ages_15-19)",Expected_Years_of_Schooling_(years),HDI_Rank,Human_Development_Index_(value),Inequality-adjusted_Human_Development_Index_(value),Life_Expectancy_at_Birth_(years)
NPL,67.169,13.75430393,145.0,0.622,0.437,70.354
NRU,76.239,12.84263763,124.0,0.703,0.599,62.109
NZL,10.879,19.30005074,17.0,0.938,0.853,82.088
OMN,5.986,13.43931961,50.0,0.858,0.75,80.031
PAK,41.095,7.89510849,168.0,0.544,0.364,67.649
PAN,57.342,13.3116098,59.0,0.839,0.664,79.594
PER,43.562,14.90939376,79.0,0.794,0.633,77.74
PHL,31.887,12.81904666,117.0,0.72,0.597,69.833
PLW,29.927,14.06742382,84.0,0.786,0.616,69.269
PNG,54.069,11.51107187,160.0,0.576,0.423,66.134
POL,6.191,16.67827988,35.0,0.906,0.817,78.633
PRK,0.512,12.20215329,,,,73.642
PRT,6.985,17.48682022,40.0,0.89,0.795,82.36
PRY,70.332,13.98706964,99.0,0.756,0.599,73.844
PSE,36.043,12.99800968,133.0,0.674,0.538,65.17
QAT,5.693,13.14116001,43.0,0.886,,82.368
ROU,33.75,14.05288029,55.0,0.845,0.758,75.938
RUS,12.974,13.18515015,64.0,0.832,0.758,73.154
RWA,30.779,12.59045029,159.0,0.578,0.399,67.785
SAU,11.114,16.94943047,37.0,0.9,,78.732
SDN,66.071,8.620371878,176.0,0.511,0.328,66.331
SEN,60.242,9.142709732,169.0,0.53,0.34,68.683
SGP,2.16,16.74227905,13.0,0.946,0.823,83.736
SLB,50.372,11.31304207,156.0,0.584,0.483,70.528
SLE,93.592,9.064124575,185.0,0.467,0.281,61.786
SLV,54.23,11.11291027,132.0,0.678,0.555,72.099
SMR,1.158,14.59976717,29.0,0.915,,85.706
SOM,117.1,7.486165162,192.0,0.404,0.229,58.816
SRB,13.669,15.04216003,62.0,0.833,0.772,76.769
SSD,97.132,5.634770141,193.0,0.388,0.226,57.617
STP,86.195,12.8567099,141.0,0.637,0.478,69.718
SUR,48.032,10.95909977,114.0,0.722,,73.631
SVK,24.59,14.94684982,44.0,0.88,0.833,78.341
SVN,3.496,17.47717094,21.0,0.931,0.885,81.603
SWE,1.792,18.99147034,5.0,0.959,0.886,83.262
SWZ,68.726,15.24604391,126.0,0.695,0.431,64.123
SYC,54.516,18.22489929,54.0,0.848,0.755,72.862
SYR,38.91,7.418754527,162.0,0.564,,72.12
TCD,134.738,8.347590231,190.0,0.416,0.252,55.069
TGO,77.05,13.09642387,161.0,0.571,0.363,62.739
THA,26.145,15.35883492,76.0,0.798,0.677,76.412
TJK,40.437,10.84980801,128.0,0.691,0.594,71.79
TKM,21.227,13.24057961,95.0,0.764,,70.073
TLS,27.406,13.25306303,142.0,0.634,0.451,67.689
TON,24.841,17.78693018,92.0,0.769,0.682,72.895
TTO,35.994,14.23764336,72.0,0.807,,73.49
TUN,4.315,14.67349856,105.0,0.746,0.595,76.508
TUR,12.055,19.8307991,51.0,0.853,0.708,77.156
TUV,27.507,12.37506862,129.0,0.689,0.578,67.105
